uid,session,instrument,technique,analyst,analysed_at,sample_uid,bibliography_uid,sample_name,description,spot_image_uid,spot_image_path,spot_x_image,spot_y_image,Li (cg/g),Li_error,d7Li (cg/g),d7Li_error
,3006,,,,,,,,,,C:/Users/sims1270/Dropbox/Documents/pl-bytownite-c/spots/ys_pl_bytownite_c@2992@3027.jpg,27.541205,44.868302,370.0,,-81.6,
,3007,,,,,,,,,,C:/Users/sims1270/Dropbox/Documents/pl-bytownite-c/spots/ys_pl_bytownite_c@2992@3027.jpg,79.067457,36.443394,134.0,,-937.0,
,3008,,,,,,,,,,C:/Users/sims1270/Dropbox/Documents/pl-bytownite-c/spots/ys_pl_bytownite_c@2992@3027.jpg,70.276248,36.565494,760.0,,-1500.0,
,3009,,,,,,,,,,C:/Users/sims1270/Dropbox/Documents/pl-bytownite-c/spots/ys_pl_bytownite_c@2992@3027.jpg,61.85134,36.321294,744.0,,-1610.0,
,3010,,,,,,,,,,C:/Users/sims1270/Dropbox/Documents/pl-bytownite-c/spots/ys_pl_bytownite_c@2992@3027.jpg,53.060131,36.321294,650.0,,-1690.0,
,3011,,,,,,,,,,C:/Users/sims1270/Dropbox/Documents/pl-bytownite-c/spots/ys_pl_bytownite_c@2992@3027.jpg,44.268922,36.077094,441.0,,-1280.0,
,3012,,,,,,,,,,C:/Users/sims1270/Dropbox/Documents/pl-bytownite-c/spots/ys_pl_bytownite_c@2992@3027.jpg,35.844014,35.954993,309.0,,-221.0,
,3013,,,,,,,,,,C:/Users/sims1270/Dropbox/Documents/pl-bytownite-c/spots/ys_pl_bytownite_c@2992@3027.jpg,27.052805,35.832893,153.0,,533.0,
,3014,,,,,,,,,,C:/Users/sims1270/Dropbox/Documents/pl-bytownite-c/spots/ys_pl_bytownite_c@2992@3027.jpg,79.189557,27.407985,103.0,,986.0,
,3015,,,,,,,,,,C:/Users/sims1270/Dropbox/Documents/pl-bytownite-c/spots/ys_pl_bytownite_c@2992@3027.jpg,70.642548,27.530085,774.0,,179.0,
,3016,,,,,,,,,,C:/Users/sims1270/Dropbox/Documents/pl-bytownite-c/spots/ys_pl_bytownite_c@2992@3027.jpg,61.729239,27.407985,908.0,,-770.0,
,3017,,,,,,,,,,C:/Users/sims1270/Dropbox/Documents/pl-bytownite-c/spots/ys_pl_bytownite_c@2992@3027.jpg,53.304331,27.285885,702.0,,1730.0,
,3018,,,,,,,,,,C:/Users/sims1270/Dropbox/Documents/pl-bytownite-c/spots/ys_pl_bytownite_c@2992@3027.jpg,44.391022,27.285885,341.0,,2880.0,
,3019,,,,,,,,,,C:/Users/sims1270/Dropbox/Documents/pl-bytownite-c/spots/ys_pl_bytownite_c@2992@3027.jpg,35.721913,27.285885,101.0,,3210.0,
,3020,,,,,,,,,,C:/Users/sims1270/Dropbox/Documents/pl-bytownite-c/spots/ys_pl_bytownite_c@2992@3027.jpg,29.250607,27.530085,,,,
,3021,,,,,,,,,,C:/Users/sims1270/Dropbox/Documents/pl-bytownite-c/spots/ys_pl_bytownite_c@2992@3027.jpg,80.044258,18.860976,81.3,,3280.0,
,3022,,,,,,,,,,C:/Users/sims1270/Dropbox/Documents/pl-bytownite-c/spots/ys_pl_bytownite_c@2992@3027.jpg,70.520448,18.738876,712.0,,5140.0,
,3023,,,,,,,,,,C:/Users/sims1270/Dropbox/Documents/pl-bytownite-c/spots/ys_pl_bytownite_c@2992@3027.jpg,61.97344,18.616776,541.0,,978.0,
,3024,,,,,,,,,,C:/Users/sims1270/Dropbox/Documents/pl-bytownite-c/spots/ys_pl_bytownite_c@2992@3027.jpg,53.060131,18.616776,133.0,,2070.0,
,3025,,,,,,,,,,C:/Users/sims1270/Dropbox/Documents/pl-bytownite-c/spots/ys_pl_bytownite_c@2992@3027.jpg,44.635222,18.372576,48.6,,3990.0,
,3026,,,,,,,,,,C:/Users/sims1270/Dropbox/Documents/pl-bytownite-c/spots/ys_pl_bytownite_c@2992@3027.jpg,79.189557,55.124713,183.0,,-51.3,
,3027,,,,,,,,,,C:/Users/sims1270/Dropbox/Documents/pl-bytownite-c/spots/ys_pl_bytownite_c@2992@3027.jpg,79.189557,55.124713,164.0,,-983.0,
,ref,,,,,,,,,,C:/Users/sims1270/Dropbox/Documents/pl-bytownite-c/spots/ys_pl_bytownite_c@2992@3027.jpg,15,5,500.0,,0.0,
